article,project,views_ceil,rank,country,date,article_clean,query,summary,sentiment
AstraZeneca,es.wikipedia,6600,8,ar,2021-06-28 18:27:44.725419,astrazeneca,AstraZeneca,"AstraZeneca plc () is a British-Swedish multinational pharmaceutical and biotechnology company with its headquarters at the Cambridge Biomedical Campus in Cambridge, England. It has a portfolio of products for major diseases in areas including oncology, cardiovascular, gastrointestinal, infection,  neuroscience, respiratory, and inflammation. It is perhaps best known for its involvement in developing the Oxford-Astrazeneca COVID-19 vaccine.The company was founded in 1999 through the merger of the Swedish Astra AB and the British Zeneca Group (itself formed by the demerger of the pharmaceutical operations of Imperial Chemical Industries in 1993). Since the merger it has been among the world's largest pharmaceutical companies and has made numerous corporate acquisitions, including Cambridge Antibody Technology (in 2006), MedImmune (in 2007), Spirogen (in 2013) and Definiens (by MedImmune in 2014). It has its research and development concentrated in three strategic centres: Cambridge, England; Gothenburg, Sweden and Gaithersburg in Maryland, U.S.AstraZeneca has a primary listing on the London Stock Exchange and is a constituent of the FTSE 100 Index. It has secondary listings on Nasdaq OMX Stockholm, Nasdaq New York, the Bombay Stock Exchange and on the National Stock Exchange of India.",0.958120584487915
Florencia_Otero,es.wikipedia,6000,9,ar,2021-06-28 18:27:44.725419,florencia_otero,Murder Ballad (musical),"Murder Ballad is a musical with music and lyrics by Juliana Nash, and book and lyrics by Julia Jordan.

",0.998927116394043
Países_Bajos,es.wikipedia,6000,10,ar,2021-06-28 18:27:44.725419,paises_bajos,Spanish Netherlands,"Spanish Netherlands (historically in Spanish: Flandes, the name ""Flanders"" was used as a pars pro toto) was the name for the Habsburg Netherlands ruled by the Spanish branch of the Habsburgs from 1556 to 1714. They were a collection of States of the Holy Roman Empire in the Low Countries held in personal union by the Spanish Crown (also called Habsburg Spain). This region comprised most of the modern states of Belgium and Luxembourg, as well as parts of northern France, the southern Netherlands, and western Germany with the capital being Brussels. The Army of Flanders was tasked with the defence of the territory.
The Imperial fiefs of the former Burgundian Netherlands had been inherited by the Austrian House of Habsburg from the extinct House of Valois-Burgundy upon the death of Mary of Burgundy in 1482. The Seventeen Provinces formed the core of the Habsburg Netherlands which passed to the Spanish Habsburgs upon the abdication of Emperor Charles V in 1556. When part of the Netherlands separated to form the autonomous Dutch Republic in 1581, the remainder of the area stayed under Spanish rule until the War of the Spanish Succession.",0.8461312055587769
Eurocopa_2020,es.wikipedia,5000,12,ar,2021-06-28 18:27:44.725419,eurocopa_2020,UEFA Euro 2020 broadcasting rights,"UEFA Euro 2020 is an ongoing international football tournament taking place in June and July 2021 involving 24 men's national teams from nations affiliated to the Union of European Football Associations (UEFA). The tournament is being broadcast via television and radio all over the world.

",0.9966498613357544
Eurocopa,es.wikipedia,4700,13,ar,2021-06-28 18:27:44.725419,eurocopa,UEFA European Championship,"The UEFA European Football Championship, less formally, the European Championship (EC) and informally as the Euros, is the primary association football competition contested by the senior men's national teams of the members of the Union of European Football Associations (UEFA), determining the continental champion of Europe. The competition has been held every four years since 1960, except for 2020, when it was postponed until 2021 due to the COVID-19 pandemic in Europe. Scheduled to be in the even-numbered year between FIFA World Cup tournaments, it was originally called the European Nations' Cup, changing to the current name in 1968. The individual events are branded in the form of ""UEFA Euro [year]"".
Prior to entering the tournament, all teams other than the host nations (which qualify automatically) compete in a qualifying process. Until 2016 the championship winners could compete in the following FIFA Confederations Cup, but were not obliged to do so.The fifteen European Championship tournaments have been won by ten national teams: Germany and Spain have each won three titles, France has won two titles, and the Soviet Union, Italy, Czechoslovakia, the Netherlands, Denmark, Greece and Portugal have won one title each. To date, Spain is the only team in history to have won consecutive titles, doing so in 2008 and 2012. It is the second-most watched football tournament in the world after the FIFA World Cup. The Euro 2012 final was watched by a global audience of around 300 million.The most recent championship, hosted by France in 2016, was won by Portugal, who beat France 1–0 in the final at the Stade de France in Saint-Denis after extra time. The match averaged 284 million viewers, making it the second-most watched game in European tournament history.

",0.9955111145973206
Martín_Miguel_de_Güemes,es.wikipedia,4500,14,ar,2021-06-28 18:27:44.725419,martin_miguel_de_guemes,Martín Miguel de Güemes,Martín Miguel de Güemes (8 February 1785 – 17 June 1821) was a military leader and popular caudillo who defended northwestern Argentina from the Spanish during the Argentine War of Independence.,0.9908930659294128
Atentado_de_la_maratón_de_Boston,es.wikipedia,4300,15,ar,2021-06-28 18:27:44.725419,atentado_de_la_maraton_de_boston,,,
Copa_América,es.wikipedia,4000,16,ar,2021-06-28 18:27:44.725419,copa_america,Copa América,"Copa América (CONMEBOL America Cup), known until 1975 as the South American Football Championship (Campeonato Sudamericano de Fútbol in Spanish and Copa Sul-Americana de Futebol in Portuguese), is the main men's football tournament contested among national teams from South America. It is the oldest still-running international football competition, as well as the third most watched in the world. The competition determines the champions
 of South America. Since the 1990s, teams from North America and Asia have also been invited to compete.
Since 1993, the tournament has generally featured 12 teams—all 10 CONMEBOL teams and two additional teams from other confederations. Mexico participated in every tournament between 1993 and 2016, with one additional team drawn from CONCACAF, except for 1999, when AFC team Japan filled out the 12-team roster, and 2019, which featured Japan and Qatar. The 2016 version of the event, Copa América Centenario, featured 16 teams, with six teams from CONCACAF in addition to the 10 from CONMEBOL. Mexico's two runner-up finishes are the highest for a non-CONMEBOL side.
Eight of the ten CONMEBOL national teams have won the tournament at least once in its 46 stagings since the event's inauguration in 1916, with only Ecuador and Venezuela yet to win. Uruguay has the most championships in the tournament's history, with 15 cups, followed by Argentina with 14 cups; while the current champion, Brazil, has nine cups. Argentina, which hosted the inaugural edition in 1916, has hosted the tournament the most times (nine). The United States is the only non-CONMEBOL country to host, having hosted the event in 2016. On three occasions (in 1975, 1979, and 1983), the tournament was held in multiple South American countries.",0.997340977191925
Copa_América_2021,es.wikipedia,4000,17,ar,2021-06-28 18:27:44.725419,copa_america_2021,2021 Copa América,"The 2021 Copa América is the ongoing  47th edition of the Copa América, the international men's football championship organised by South America's football ruling body CONMEBOL. The tournament is taking place in Brazil from 13 June to 10 July 2021. The tournament was originally scheduled to take place from 12 June to 12 July 2020 in Argentina and Colombia as the 2020 Copa América. On 17 March 2020, CONMEBOL announced that due to the COVID-19 pandemic in South America, the tournament had been postponed for a year, in conjunction with UEFA's decision to also postpone UEFA Euro 2020 to 2021.On 20 May 2021, Colombia was removed as co-host amid ongoing protests against President Iván Duque Márquez, and Argentina was then removed on 30 May due to COVID-19 issues. The following day CONMEBOL confirmed Brazil as the new host of the tournament.Hosts Brazil are the title holders, having won their ninth title in 2019, which they also hosted.",-0.7644291520118713
Hernán_Montenegro,es.wikipedia,3800,18,ar,2021-06-28 18:27:44.725419,hernan_montenegro,Hernán Montenegro,"Hernán Abel Montenegro (born August 8, 1966), is a retired Argentine basketball player. He is considered one of the best Latin America centers ever by journalists and colleagues. Montenegro was also a very charismatic player, nicknamed ""El Loco"" (""The Crazy"" in Spanish), due to his eccentric behaviour on and off the court.
Due to his skill to play basketball, Montenegro has been compared with talented players such as Puerto Rican José Piculín Ortiz, Brazilian Oscar Schmidt or Spanish Fernando Martín Espina.",0.9995921850204468
Atentados_del_11_de_septiembre_de_2001,es.wikipedia,3800,19,ar,2021-06-28 18:27:44.725419,atentados_del_11_de_septiembre_de_2001,William Rodriguez,"William Rodríguez is a former janitor at the North Tower of the World Trade Center during the September 11, 2001, attacks and was in the basement of the North Tower when American Airlines Flight 11 crashed into the building. After the attacks he received several awards for heroism for helping in the evacuation of many survivors. The Birmingham Mail said about Rodriguez: ""He bravely led firefighters up the stairs, unlocking doors as they climbed and helping hundreds of survivors"" and The Lancashire Telegraph added: ""He then went back into the building in a bid to rescue his friends at the top of the tower, on the 106th floor. But he kept finding others who needed his help as well.""Rodriguez became prominent in the Latino community for helping to institute an economic amnesty program for victims of 9/11 who were undocumented workers.Subsequently, Rodriguez traveled around talking about a theory and his experiences on 9/11, giving motivational lectures and discussing disaster management. The Herald newspaper of Glasgow characterized him as ""the poster boy for a movement currently sweeping the globe... the 9/11 Truth Campaign."" He titled his website ""911keymaster"", appearing on TV and having himself photographed frequently with a 'master key' to the World Trade Center, which, he has alleged on BBC and Dutch TV and C-SPAN, saved hundreds of lives. He also used the title ""Last Man Out"", touring in the UK and the US with that phrase. Rodriguez has also employed the ""Last Survivor of the World Trade Center"" slogan.His website william911.com states that he ""helped fifteen (15) persons from the WTC to safety."" Newspapers articles state that he raised 122 million dollars for the victims of 9/11.",0.9623515009880066
Vuelo_93_de_United_Airlines,es.wikipedia,3700,20,ar,2021-06-28 18:27:44.725419,vuelo_93_de_united_airlines,Interjet,"Interjet (official legal name ABC Aerolíneas, S.A. de C.V.), also known as Interjet Airlines, was a Mexican low-cost carrier headquartered in Mexico City. The airline operated scheduled flights to and from various destinations within Mexico, as well as to and from the Caribbean, Central America, North America, and South America. The airline was a family business ran by Reynaldo Vizcarra: until December 2010, the president and CEO was Miguel Alemán Magnani, son of Miguel Alemán Velasco, who is president of the group that owns the airline, Grupo Alemán. Alemán Velasco is in turn son of former President of Mexico Miguel Alemán Valdés, who amassed a fortune while in office from 1946 to 1952.
As of December 2020 the CFO Erick Peña Bonola  announced the suspension of all operations and from the IATA for its non-payment of debt, primarily from fuel costs.
 The airline's website is currently inactive, as reported by sources.",-0.9987562298774719
La_vida_es_bella,es.wikipedia,3300,21,ar,2021-06-28 18:27:44.725419,la_vida_es_bella,Lola Rodríguez (actress),"Lola Rodríguez Díaz (born 26 November 1998) is a Spanish actress, model, and LGBT rights activist.",0.9707105159759521
Zulma_Faiad,es.wikipedia,3200,22,ar,2021-06-28 18:27:44.725419,zulma_faiad,Zulma Faiad,"Zulma Aurora Faiad (born February 21, 1944 in Buenos Aires, Argentina) is an Argentinian vedette and actress.",0.9811040163040161
Argentina,es.wikipedia,3100,23,ar,2021-06-28 18:27:44.725419,argentina,Argentina,"Argentina (Spanish: [aɾxenˈtina]), officially the Argentine Republic (Spanish: República Argentina), is a country in the southern half of South America. It shares the bulk of the Southern Cone with Chile to the west, and is also bordered by Bolivia and Paraguay to the north, Brazil to the northeast, Uruguay and the South Atlantic Ocean to the east, and the Drake Passage to the south. Argentina covers an area of 2,780,400 km2 (1,073,500 sq mi), and is the largest Spanish-speaking nation in the world. It is the second-largest country in South America after Brazil, the fourth-largest country in the Americas, and the eighth-largest country in the world. Argentina is subdivided into twenty-three provinces, and one autonomous city, which is the federal capital and largest city of the nation, Buenos Aires. The provinces and the capital have their own constitutions, but exist under a federal system. Argentina claims sovereignty over a part of Antarctica, the Falkland Islands and South Georgia and the South Sandwich Islands.
The earliest recorded human presence in modern-day Argentina dates back to the Paleolithic period. The Inca Empire expanded to the northwest of the country in Pre-Columbian times. The country has its roots in Spanish colonization of the region during the 16th century. Argentina rose as the successor state of the Viceroyalty of the Río de la Plata, a Spanish overseas viceroyalty founded in 1776. The declaration and fight for independence (1810–1818) was followed by an extended civil war that lasted until 1861, culminating in the country's reorganization as a federation. The country thereafter enjoyed relative peace and stability, with several waves of European immigration, mainly Italians and Spaniards, radically reshaping its cultural and demographic outlook; 62.5% of the population has full or partial Italian ancestry, and the Argentine culture has significant connections to the Italian culture.The almost-unparalleled increase in prosperity led to Argentina becoming the seventh-wealthiest nation in the world by the early 20th century. According to the Maddison Historical Statistics Project, Argentina had the world's highest real GDP per capita during 1895 and 1896, and was consistently in the top ten before at least 1920. Currently, it is ranked 71st in the world. Following the Great Depression in the 1930s, Argentina descended into political instability and economic decline that pushed it back into underdevelopment, although it remained among the fifteen richest countries for several decades. Following the death of President Juan Perón in 1974, his widow and vice president, Isabel Martínez de Perón, ascended to the presidency. She was overthrown in 1976 by a military dictatorship. The military government persecuted and murdered thousands of political critics, activists, and leftists in the Dirty War, a period of state terrorism and civil unrest that lasted over until the election of Raúl Alfonsín as president in 1983.
Argentina ranks very high in the Human Development Index, the second-highest in Latin America after Chile. It is a regional power, and retains its historic status as a middle power in international affairs. It maintains the second-largest economy in South America, and is a member of G-15 and G20. Argentina is also a founding member of the United Nations, World Bank, World Trade Organization, Mercosur, Community of Latin American and Caribbean States and the Organization of Ibero-American States.",
Ես_իմ_անուշ_Հայաստանի,hy.wikisource,2500,1,am,2021-06-28 18:27:44.725419,es_im_anowsh_hayastani,Mount Ararat,"Mount Ararat ( ARR-ə-rat; Armenian: Մասիս, romanized: Masis or Արարատ, Ararat; Kurdish: Grîdax‎ or Çiyayê Agirî; Turkish: Ağrı Dağı) is a snow-capped and dormant compound volcano in the extreme east of Turkey. It consists of two major volcanic cones: Greater Ararat and Little Ararat. Greater Ararat is the highest peak in Turkey and the Armenian Highland with an elevation of 5,137 m (16,854 ft); Little Ararat's elevation is 3,896 m (12,782 ft). The Ararat massif is about 35 km (22 mi) wide at ground base. The first recorded efforts to reach Ararat's summit were made in the Middle Ages, and Friedrich Parrot, Khachatur Abovian, and four others made the first recorded ascent in 1829.
The mountain has been called by the name Ararat (in the West) since the Middle Ages, as it began to be identified with ""mountains of Ararat"" described in the Bible as the resting place of Noah's Ark, despite contention that Genesis 8:4 does not refer specifically to a Mount Ararat. It is the principal national symbol of Armenia and has been considered a sacred mountain by Armenians. It is featured prominently in Armenian literature and art and is an icon for Armenian irredentism. It is depicted on the coat of arms of Armenia along with Noah's Ark.",0.9867763519287109
Տաղ_անձնական_(Չարենց),hy.wikisource,1900,2,am,2021-06-28 18:27:44.725419,tagh_andznakan_(ch`arents`),,,
Փարվանա,hy.wikisource,1900,3,am,2021-06-28 18:27:44.725419,p`arvana,Paravani Lake,"Paravani lake (Georgian: ფარავნის ტბა; Armenian: Փարվանա (Parvana)) is a volcanic lake in Georgia, located in Javakheti Plateau between Abul-Samsari and Javakheti Ranges.",0.9512808918952942
Անունդ_տալիս,hy.wikisource,1800,4,am,2021-06-28 18:27:44.725419,anownd_talis,,,
Լճակ,hy.wikisource,1700,5,am,2021-06-28 18:27:44.725419,lchak,,,
Թմկաբերդի_առումը,hy.wikisource,1700,6,am,2021-06-28 18:27:44.725419,t`mkaberdi_arhowme,Tmogvi,"Tmogvi (Georgian: თმოგვი [tʰmɔgvi]; Armenian: Թմկաբերդ) is a ruined fortress and medieval town in the southern Georgian region of Samtskhe-Javakheti, on the left bank of the Kura River, a few kilometers downstream of the cave city of Vardzia.",-0.9721404314041138
Երազ_օրեր,hy.wikisource,1600,7,am,2021-06-28 18:27:44.725419,eraz_orer,Western Armenian,"Western Armenian (Classical spelling: արեւմտահայերէն, arevmdahayerēn) is one of the two standardized forms of Modern Armenian, the other being Eastern Armenian. It is based mainly on the Istanbul Armenian dialect contrary to Eastern Armenian which is mainly based on the Yerevan Armenian dialect.
Until the early 20th century, various Western Armenian dialects were also spoken in the Ottoman Empire, especially in the eastern regions historically populated by Armenians known as Western Armenia. The spoken or dialectal varieties of Western Armenian currently in use include Homshetsi, spoken by the Hemshin peoples; the dialects of Armenians of Kessab, Latakia and Jisr al-Shughur of Syria, Anjar of Lebanon, and Istanbul and Vakıflı, of Turkey (part of the ""Sueidia"" dialect). Sasun and Mush dialect is also spoken in modern day Armenia villages such as Bazmaberd and Sasnashen. 
Forms of the Karin dialect of Western Armenian are spoken by several hundred thousand people in Northern Armenia, mostly in Gyumri, Artik, Akhuryan, and around 130 villages in the Shirak province, and by Armenians in Samtskhe–Javakheti province of Georgia (Akhalkalaki, Akhaltsikhe).As mostly a diasporic language, and as a language that is not an official language of any state, Western Armenian faces extinction as its native speakers lose fluency in Western Armenian amid pressures to assimilate into their host countries. Estimates place the number of fluent speakers of Western Armenian outside Armenia and Georgia at less than one million.",-0.9984633326530457
Մի՞թե_վերջին_պոետն_եմ_ես,hy.wikisource,1500,8,am,2021-06-28 18:27:44.725419,mi?t`e_verjin_poetn_em_es,,,
Տխրություն,hy.wikisource,1500,9,am,2021-06-28 18:27:44.725419,tkhrowt`yown,,,
Քառյակներ_(Հովհաննես_Թումանյան),hy.wikisource,1400,10,am,2021-06-28 18:27:44.725419,k`arhyakner_(hovhannes_t`owmanyan),,,
